Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,30.1,,,,,,,,,
Albania,ALB,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,2,,,1.1,,,0.4,,,,1.1,,,,,
Andorra,AND,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,0,0,,,,1.1,2.1,2.4,2.3,4.1,4.6,4.1,4.6,4.8,5.7,9.4,14,7,5.4,3.9,3.3,2.9,2.6,2.6,1.1,0.9,0.8,0.8,0.7,,0.6,
Armenia,ARM,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,19.3,15.1,11.4,7.9,4.4,3.2,2.8,1.4,1.9,1.9,2.2,1.6,2.2,2.3,1.9,1.8,
Samoa Americana,ASM,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,Tasa de incidencia de la pobreza. sobre la base de $1.90 por día (2011 PPA) (% de la población),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
